DateTime,Action,Source IP,Destination IP,Protocol,Port,Rule
2024-01-01 0:57:00,Allowed,80.41.120.16,190.202.133.185,HTTP,50607,FTP Allow
2024-01-01 0:58:00,Blocked,23.164.172.108,52.251.63.210,HTTP,19633,DNS Allow
2024-01-01 0:59:00,Blocked,233.212.69.213,29.79.107.223,ICMP,45151,DNS Allow
2024-01-01 1:00:00,Allowed,77.103.143.146,245.95.28.25,HTTP,57894,FTP Allow
2024-01-01 1:01:00,Allowed,242.240.110.113,85.60.160.10,UDP,30654,FTP Allow
2024-01-01 1:02:00,Allowed,230.215.74.168,244.36.179.188,ICMP,21598,DNS Allow
2024-01-01 1:03:00,Allowed,53.180.67.232,83.255.75.127,HTTPS,52000,DNS Allow
2024-01-01 1:04:00,Blocked,234.13.59.77,47.218.239.162,HTTPS,5634,HTTP Deny
2024-01-01 1:05:00,Allowed,114.16.251.95,123.117.9.58,HTTP,32395,HTTPS Allow
2024-01-01 1:06:00,Blocked,122.1.94.96,247.208.33.224,ICMP,64973,ICMP Deny
2024-01-01 1:07:00,Allowed,88.60.192.169,23.219.105.156,HTTPS,15052,HTTP Deny
2024-01-01 1:08:00,Allowed,43.18.127.54,30.43.188.195,HTTP,36629,FTP Allow
2024-01-01 1:09:00,Blocked,204.203.50.154,186.5.55.226,UDP,16379,HTTPS Allow
2024-01-01 1:10:00,Blocked,130.106.160.215,189.251.1.9,UDP,21214,FTP Allow
2024-01-01 1:11:00,Allowed,205.140.40.35,50.230.36.26,HTTPS,17698,DNS Allow
2024-01-01 1:12:00,Blocked,201.1.237.76,27.167.42.233,ICMP,33650,ICMP Deny
2024-01-01 1:13:00,Allowed,238.235.216.232,72.218.103.75,HTTP,31829,HTTPS Allow
2024-01-01 1:14:00,Blocked,9.9.12.182,105.85.13.80,UDP,17548,ICMP Deny
2024-01-01 1:15:00,Allowed,166.167.1.124,30.4.30.43,UDP,64506,ICMP Deny
2024-01-01 1:16:00,Allowed,249.217.249.25,241.200.99.170,HTTP,54857,DNS Allow
2024-01-01 1:17:00,Blocked,110.204.54.50,171.148.78.170,HTTP,13627,ICMP Deny
2024-01-01 1:18:00,Blocked,47.65.210.20,196.230.115.212,ICMP,44166,HTTPS Allow
2024-01-01 1:19:00,Blocked,137.243.40.65,234.199.231.81,TCP,13261,HTTPS Allow
2024-01-01 1:20:00,Allowed,45.154.121.208,172.135.161.162,TCP,59909,ICMP Deny
2024-01-01 1:21:00,Blocked,93.229.14.108,115.72.56.235,TCP,19140,FTP Allow
2024-01-01 1:22:00,Blocked,182.41.20.241,22.158.133.124,HTTPS,9813,ICMP Deny
2024-01-01 1:23:00,Blocked,164.222.229.198,72.8.252.4,HTTP,14571,HTTPS Allow
2024-01-01 1:24:00,Blocked,133.45.31.227,26.132.243.130,TCP,56336,DNS Allow
2024-01-01 1:25:00,Blocked,162.123.73.107,133.2.180.142,UDP,63011,HTTPS Allow
2024-01-01 1:26:00,Allowed,26.92.20.64,33.217.105.60,ICMP,16939,HTTPS Allow
2024-01-01 1:27:00,Blocked,179.2.225.150,204.51.18.95,ICMP,24752,FTP Allow
2024-01-01 1:28:00,Blocked,175.167.24.203,171.235.138.171,ICMP,33421,HTTP Deny
2024-01-01 1:29:00,Allowed,27.206.57.113,10.204.143.82,TCP,33056,ICMP Deny
2024-01-01 1:30:00,Blocked,43.188.219.128,230.233.61.230,ICMP,2556,HTTP Deny
2024-01-01 1:31:00,Blocked,240.115.114.225,51.20.47.127,UDP,63079,ICMP Deny
2024-01-01 1:32:00,Allowed,107.26.74.172,176.140.194.116,HTTPS,59582,HTTP Deny
2024-01-01 1:33:00,Allowed,179.209.207.154,216.50.38.202,ICMP,23332,FTP Allow
2024-01-01 1:34:00,Allowed,7.100.145.122,235.4.161.146,ICMP,308,FTP Allow
2024-01-01 1:35:00,Allowed,58.187.154.154,43.202.181.247,TCP,15685,HTTPS Allow
2024-01-01 1:36:00,Blocked,70.190.196.43,7.81.213.104,UDP,53359,HTTPS Allow
2024-01-01 1:37:00,Blocked,37.27.69.67,171.94.90.219,UDP,50381,FTP Allow
2024-01-01 1:38:00,Blocked,45.176.121.84,232.136.240.217,UDP,46397,DNS Allow
2024-01-01 1:39:00,Blocked,249.25.164.148,40.193.47.128,HTTP,59319,HTTP Deny
2024-01-01 1:40:00,Allowed,230.214.167.133,134.119.27.104,HTTP,17550,HTTPS Allow
2024-01-01 1:41:00,Allowed,98.98.254.84,108.100.92.241,HTTP,47449,DNS Allow
2024-01-01 1:42:00,Allowed,60.120.187.65,13.102.84.109,UDP,27306,FTP Allow
2024-01-01 1:43:00,Blocked,122.79.74.39,201.55.43.149,HTTPS,1869,FTP Allow
2024-01-01 1:44:00,Allowed,148.242.53.34,153.111.193.113,HTTP,25449,HTTP Deny
2024-01-01 1:45:00,Blocked,61.161.143.143,116.219.156.150,HTTP,23281,HTTPS Allow
2024-01-01 1:46:00,Allowed,114.225.127.242,247.45.240.108,UDP,58648,DNS Allow
2024-01-01 1:47:00,Blocked,206.162.242.195,61.37.55.37,UDP,61464,FTP Allow
2024-01-01 1:48:00,Allowed,192.130.142.80,237.55.162.197,HTTP,7984,FTP Allow
2024-01-01 1:49:00,Allowed,135.216.239.172,221.236.234.10,HTTP,22354,HTTPS Allow
2024-01-01 1:50:00,Allowed,254.165.220.0,146.140.118.79,TCP,31959,DNS Allow
2024-01-01 1:51:00,Blocked,27.152.5.78,132.183.235.233,UDP,61061,HTTP Deny
2024-01-01 1:52:00,Blocked,189.191.53.220,220.128.155.100,ICMP,39689,HTTPS Allow
2024-01-01 1:53:00,Blocked,167.73.224.230,193.56.87.13,UDP,60242,ICMP Deny
2024-01-01 1:54:00,Blocked,164.222.239.170,160.120.101.55,TCP,64567,DNS Allow
2024-01-01 1:55:00,Blocked,84.252.85.114,64.140.201.71,HTTPS,43251,FTP Allow
2024-01-01 1:56:00,Blocked,165.195.3.193,30.201.109.123,UDP,2268,ICMP Deny
2024-01-01 1:57:00,Allowed,27.142.133.235,108.133.156.125,HTTP,60480,DNS Allow
2024-01-01 1:58:00,Allowed,141.13.26.86,218.110.144.76,HTTP,13873,ICMP Deny
2024-01-01 1:59:00,Blocked,185.196.120.180,249.193.91.50,HTTP,33342,DNS Allow
2024-01-01 2:00:00,Allowed,96.244.103.29,215.221.194.124,HTTPS,51626,HTTPS Allow
2024-01-01 2:01:00,Blocked,17.255.219.28,113.46.140.26,TCP,65528,FTP Allow
2024-01-01 2:02:00,Allowed,10.223.63.201,250.168.72.250,ICMP,58599,FTP Allow
2024-01-01 2:03:00,Allowed,13.115.166.61,234.96.5.28,UDP,48608,DNS Allow
2024-01-01 2:04:00,Allowed,58.6.11.82,180.138.87.250,TCP,40696,FTP Allow
2024-01-01 2:05:00,Allowed,124.104.13.152,105.142.234.243,UDP,29905,DNS Allow
2024-01-01 2:06:00,Blocked,31.213.95.160,128.178.5.230,HTTPS,28966,FTP Allow
2024-01-01 2:07:00,Allowed,158.157.186.81,229.9.216.165,TCP,35915,HTTPS Allow
2024-01-01 2:08:00,Blocked,120.237.210.38,75.180.137.124,TCP,16395,HTTPS Allow
2024-01-01 2:09:00,Blocked,180.144.249.214,197.210.2.196,ICMP,62371,DNS Allow
2024-01-01 2:10:00,Blocked,239.106.38.235,159.90.13.144,TCP,64493,FTP Allow
2024-01-01 2:11:00,Blocked,140.204.137.188,184.170.129.252,HTTP,20035,HTTP Deny
2024-01-01 2:12:00,Blocked,242.215.143.68,169.74.165.206,TCP,3595,DNS Allow
2024-01-01 2:13:00,Blocked,150.194.15.115,8.50.242.145,HTTPS,33753,HTTP Deny
2024-01-01 2:14:00,Blocked,186.18.189.3,4.85.77.129,HTTPS,624,ICMP Deny
2024-01-01 2:15:00,Allowed,191.144.100.193,172.161.96.227,UDP,10815,ICMP Deny
2024-01-01 2:16:00,Allowed,115.102.207.222,42.34.221.52,TCP,43534,FTP Allow
2024-01-01 2:17:00,Blocked,237.239.3.78,74.4.160.112,HTTPS,12565,DNS Allow
2024-01-01 2:18:00,Blocked,0.145.154.70,33.54.30.158,HTTPS,727,DNS Allow
2024-01-01 2:19:00,Blocked,119.109.204.59,69.230.127.59,HTTPS,31131,DNS Allow
2024-01-01 2:20:00,Allowed,69.36.90.27,76.68.9.27,HTTP,64854,ICMP Deny
2024-01-01 2:21:00,Blocked,80.206.168.82,176.4.250.220,ICMP,50455,DNS Allow
2024-01-01 2:22:00,Blocked,212.171.141.89,158.217.108.153,TCP,11821,ICMP Deny
2024-01-01 2:23:00,Blocked,248.18.23.182,198.97.173.141,TCP,46187,FTP Allow
2024-01-01 2:24:00,Blocked,243.190.240.218,211.220.149.221,ICMP,43264,FTP Allow
2024-01-01 2:25:00,Blocked,151.133.174.52,95.223.213.50,ICMP,18438,DNS Allow
2024-01-01 2:26:00,Blocked,142.36.238.178,125.223.127.202,ICMP,64512,HTTPS Allow
2024-01-01 2:27:00,Blocked,170.229.27.200,59.118.217.218,HTTP,13097,HTTPS Allow
2024-01-01 2:28:00,Allowed,171.252.227.210,48.218.91.40,UDP,48,HTTP Deny
2024-01-01 2:29:00,Allowed,48.183.210.195,249.203.58.94,ICMP,49472,DNS Allow
2024-01-01 2:30:00,Blocked,250.99.176.45,156.181.180.40,HTTPS,44323,HTTP Deny
2024-01-01 2:31:00,Allowed,95.21.240.54,6.198.169.80,ICMP,14728,HTTP Deny
2024-01-01 2:32:00,Blocked,40.193.143.208,158.189.39.186,TCP,55461,DNS Allow
2024-01-01 2:33:00,Blocked,250.236.2.211,177.57.115.220,UDP,31067,HTTPS Allow
2024-01-01 2:34:00,Blocked,242.252.80.40,49.29.234.11,HTTPS,5694,ICMP Deny
2024-01-01 2:35:00,Blocked,106.227.139.204,90.57.145.126,UDP,60636,HTTP Deny
2024-01-01 2:36:00,Allowed,211.93.29.84,112.20.251.9,ICMP,43519,ICMP Deny
2024-01-01 2:37:00,Allowed,121.201.171.150,135.89.160.190,TCP,23788,FTP Allow
2024-01-01 2:38:00,Allowed,90.205.135.227,81.121.86.155,UDP,16521,ICMP Deny
2024-01-01 2:39:00,Allowed,239.95.168.76,155.205.165.80,HTTPS,58664,HTTPS Allow
2024-01-01 2:40:00,Allowed,170.121.92.93,33.134.103.196,ICMP,21810,HTTPS Allow
2024-01-01 2:41:00,Blocked,225.91.167.129,236.56.76.199,TCP,2855,ICMP Deny
2024-01-01 2:42:00,Blocked,180.18.216.34,151.161.220.87,UDP,35626,DNS Allow
2024-01-01 2:43:00,Blocked,71.175.85.2,50.170.232.137,ICMP,20611,HTTPS Allow
2024-01-01 2:44:00,Allowed,167.188.178.200,201.251.197.236,TCP,47175,ICMP Deny
2024-01-01 2:45:00,Allowed,213.45.255.22,207.216.246.137,TCP,32492,HTTPS Allow
2024-01-01 2:46:00,Blocked,50.78.242.198,121.5.255.114,HTTP,30983,FTP Allow
2024-01-01 2:47:00,Allowed,2.74.153.59,93.123.119.75,ICMP,38067,HTTPS Allow
2024-01-01 2:48:00,Blocked,41.154.229.74,4.1.161.132,TCP,58448,HTTPS Allow
2024-01-01 2:49:00,Allowed,72.193.55.107,46.150.23.237,HTTP,53331,HTTPS Allow
2024-01-01 2:50:00,Blocked,238.98.213.199,243.86.210.235,HTTP,37680,FTP Allow
2024-01-01 2:51:00,Allowed,79.117.93.19,196.86.139.107,HTTPS,37719,DNS Allow
2024-01-01 2:52:00,Blocked,9.138.248.215,50.157.12.251,TCP,15380,DNS Allow
2024-01-01 2:53:00,Blocked,53.125.36.86,175.185.106.12,HTTP,9552,HTTPS Allow
2024-01-01 2:54:00,Allowed,128.38.161.61,147.171.38.23,ICMP,14814,HTTP Deny
2024-01-01 2:55:00,Blocked,89.118.42.216,132.196.74.40,TCP,4410,ICMP Deny
2024-01-01 2:56:00,Blocked,220.17.169.229,152.73.70.149,ICMP,56386,HTTP Deny
2024-01-01 2:57:00,Blocked,181.112.234.197,215.249.150.24,HTTP,52623,HTTPS Allow
2024-01-01 2:58:00,Blocked,113.62.199.32,110.126.4.150,UDP,12582,DNS Allow
2024-01-01 2:59:00,Blocked,169.194.51.250,166.187.196.59,UDP,42191,FTP Allow
2024-01-01 3:00:00,Allowed,125.107.203.19,79.12.238.74,UDP,11391,ICMP Deny
2024-01-01 3:01:00,Blocked,0.145.85.36,152.176.12.131,HTTP,44190,HTTPS Allow
2024-01-01 3:02:00,Blocked,236.248.44.107,166.248.145.75,HTTP,61277,FTP Allow
2024-01-01 3:03:00,Allowed,133.239.156.255,50.78.241.180,HTTP,35403,ICMP Deny
2024-01-01 3:04:00,Blocked,132.189.0.200,132.107.205.24,HTTPS,59029,HTTPS Allow
2024-01-01 3:05:00,Blocked,180.80.247.50,184.86.192.35,ICMP,22528,DNS Allow
2024-01-01 3:06:00,Allowed,91.45.247.204,67.167.1.171,HTTPS,1345,HTTP Deny
2024-01-01 3:07:00,Blocked,212.199.138.182,21.220.88.191,UDP,12405,HTTP Deny
2024-01-01 3:08:00,Blocked,2.131.56.106,56.199.216.242,HTTP,26033,ICMP Deny
2024-01-01 3:09:00,Allowed,108.212.66.78,0.26.145.156,ICMP,20491,ICMP Deny
2024-01-01 3:10:00,Allowed,156.130.183.18,166.111.155.8,TCP,62565,HTTP Deny
2024-01-01 3:11:00,Blocked,86.73.167.110,160.208.33.96,TCP,4693,ICMP Deny
2024-01-01 3:12:00,Blocked,140.152.227.236,80.128.254.136,HTTPS,46446,HTTP Deny
2024-01-01 3:13:00,Allowed,53.152.138.155,98.93.153.217,ICMP,17171,FTP Allow
2024-01-01 3:14:00,Blocked,181.73.158.199,166.197.13.54,TCP,57186,HTTP Deny
2024-01-01 3:15:00,Allowed,161.111.89.220,49.214.213.247,HTTPS,14113,ICMP Deny
2024-01-01 3:16:00,Allowed,53.247.169.221,136.102.245.34,ICMP,1635,FTP Allow
2024-01-01 3:17:00,Blocked,197.144.187.109,119.108.9.186,UDP,13424,FTP Allow
2024-01-01 3:18:00,Allowed,116.175.195.31,78.48.194.131,HTTP,8338,HTTPS Allow
2024-01-01 3:19:00,Blocked,113.21.136.118,243.210.85.21,HTTPS,15945,HTTP Deny
2024-01-01 3:20:00,Blocked,74.89.8.143,221.105.242.216,HTTPS,37555,HTTP Deny
2024-01-01 3:21:00,Blocked,30.220.13.250,68.53.196.189,HTTPS,20651,HTTPS Allow
2024-01-01 3:22:00,Blocked,71.2.48.9,84.76.246.193,TCP,53714,HTTPS Allow
2024-01-01 3:23:00,Blocked,119.115.223.49,97.162.148.190,ICMP,39041,ICMP Deny
2024-01-01 3:24:00,Blocked,254.77.156.1,234.54.138.122,HTTP,50041,HTTP Deny
2024-01-01 3:25:00,Allowed,244.207.140.70,240.182.59.233,ICMP,3333,ICMP Deny
2024-01-01 3:26:00,Allowed,63.35.30.219,209.110.207.49,HTTPS,5228,ICMP Deny
2024-01-01 3:27:00,Allowed,78.226.44.20,63.238.201.158,UDP,39596,ICMP Deny
2024-01-01 3:28:00,Allowed,44.212.180.219,114.81.124.116,UDP,64312,ICMP Deny
2024-01-01 3:29:00,Allowed,208.42.133.125,161.199.45.252,TCP,3789,ICMP Deny
2024-01-01 3:30:00,Allowed,232.94.103.75,152.184.244.160,UDP,17374,DNS Allow
2024-01-01 3:31:00,Blocked,188.138.194.15,120.16.55.8,UDP,30919,DNS Allow
2024-01-01 3:32:00,Allowed,135.187.64.14,115.123.135.88,HTTPS,20296,DNS Allow
2024-01-01 3:33:00,Blocked,28.4.186.227,226.126.222.221,ICMP,39123,ICMP Deny
2024-01-01 3:34:00,Allowed,111.32.197.168,142.49.236.103,HTTP,46111,ICMP Deny
2024-01-01 3:35:00,Allowed,108.175.197.90,84.148.208.35,HTTPS,6572,ICMP Deny
2024-01-01 3:36:00,Blocked,119.167.81.43,237.147.1.241,TCP,58197,HTTP Deny
2024-01-01 3:37:00,Allowed,220.231.34.236,117.166.217.50,HTTPS,62300,DNS Allow
2024-01-01 3:38:00,Blocked,213.85.12.149,180.2.177.173,HTTPS,55301,HTTP Deny
2024-01-01 3:39:00,Blocked,80.127.66.89,48.199.219.82,UDP,54911,DNS Allow
2024-01-01 3:40:00,Blocked,137.28.143.115,170.124.151.167,UDP,40327,ICMP Deny
2024-01-01 3:41:00,Allowed,122.68.79.82,211.35.55.88,TCP,10633,FTP Allow
2024-01-01 3:42:00,Allowed,91.52.251.207,18.96.174.219,ICMP,3806,DNS Allow
2024-01-01 3:43:00,Blocked,251.65.176.69,184.10.172.218,ICMP,38715,DNS Allow
2024-01-01 3:44:00,Allowed,108.200.167.60,221.67.194.132,UDP,56970,ICMP Deny
2024-01-01 3:45:00,Blocked,165.185.136.223,132.167.44.44,UDP,30976,HTTPS Allow
2024-01-01 3:46:00,Blocked,209.127.155.176,11.127.147.230,TCP,41772,HTTP Deny
2024-01-01 3:47:00,Allowed,212.229.143.139,177.11.133.40,HTTP,32317,FTP Allow
2024-01-01 3:48:00,Blocked,32.145.186.72,39.128.159.1,UDP,24071,DNS Allow
2024-01-01 3:49:00,Blocked,24.65.230.79,169.235.169.34,HTTP,16281,HTTPS Allow
2024-01-01 3:50:00,Allowed,182.121.106.89,148.253.123.94,TCP,12828,FTP Allow
2024-01-01 3:51:00,Allowed,101.233.205.189,23.53.213.222,ICMP,59012,HTTPS Allow
2024-01-01 3:52:00,Allowed,226.7.249.40,100.149.32.157,HTTPS,33008,ICMP Deny
2024-01-01 3:53:00,Allowed,125.54.91.122,181.211.15.138,HTTPS,53551,ICMP Deny
2024-01-01 3:54:00,Allowed,72.80.53.227,181.88.246.187,ICMP,1745,HTTPS Allow
2024-01-01 3:55:00,Allowed,23.187.13.14,217.58.185.59,ICMP,51406,DNS Allow
2024-01-01 3:56:00,Blocked,216.87.40.123,69.99.8.153,HTTP,51470,DNS Allow
2024-01-01 3:57:00,Blocked,82.223.34.170,73.35.120.234,TCP,5426,HTTP Deny
2024-01-01 3:58:00,Allowed,34.31.66.143,48.114.74.215,UDP,52774,FTP Allow
2024-01-01 3:59:00,Blocked,209.0.254.76,217.13.198.202,UDP,5974,FTP Allow
2024-01-01 4:00:00,Blocked,126.64.203.47,115.248.183.33,TCP,57679,ICMP Deny
2024-01-01 4:01:00,Allowed,111.165.43.68,253.70.5.228,ICMP,65262,DNS Allow
2024-01-01 4:02:00,Allowed,11.222.199.73,34.77.179.212,HTTPS,57073,FTP Allow
2024-01-01 4:03:00,Blocked,164.86.241.136,240.14.22.207,HTTPS,24458,HTTPS Allow
2024-01-01 4:04:00,Allowed,82.40.2.221,201.145.76.61,HTTPS,63307,ICMP Deny
2024-01-01 4:05:00,Blocked,191.181.27.131,240.161.169.184,UDP,62087,DNS Allow
2024-01-01 4:06:00,Allowed,33.102.183.47,1.56.75.3,HTTPS,54965,HTTP Deny
2024-01-01 4:07:00,Blocked,249.8.246.3,31.87.228.144,TCP,33826,ICMP Deny
2024-01-01 4:08:00,Blocked,3.11.129.86,37.136.199.160,HTTP,41782,DNS Allow
2024-01-01 4:09:00,Blocked,164.157.189.55,127.2.223.219,HTTP,22694,HTTP Deny
2024-01-01 4:10:00,Blocked,111.46.172.229,53.195.73.62,ICMP,42115,HTTPS Allow
2024-01-01 4:11:00,Blocked,154.135.141.29,94.90.17.147,UDP,42311,HTTP Deny
2024-01-01 4:12:00,Allowed,26.247.147.223,112.104.248.227,TCP,60074,HTTP Deny
2024-01-01 4:13:00,Allowed,153.164.187.150,127.189.61.205,HTTPS,33602,FTP Allow
2024-01-01 4:14:00,Blocked,87.126.251.176,46.140.220.211,UDP,49101,HTTPS Allow
2024-01-01 4:15:00,Allowed,126.79.179.25,150.98.87.227,TCP,11736,HTTP Deny
2024-01-01 4:16:00,Blocked,168.27.62.110,184.175.44.5,HTTP,42484,DNS Allow
2024-01-01 4:17:00,Blocked,235.206.157.10,171.30.136.169,HTTP,64528,FTP Allow
2024-01-01 4:18:00,Blocked,211.57.72.40,147.220.40.208,HTTPS,65044,DNS Allow
2024-01-01 4:19:00,Blocked,51.36.251.24,122.182.250.116,HTTP,62780,ICMP Deny
2024-01-01 4:20:00,Allowed,43.254.251.29,11.174.6.223,TCP,43357,ICMP Deny
2024-01-01 4:21:00,Allowed,58.69.238.173,152.77.171.231,HTTP,45443,ICMP Deny
2024-01-01 4:22:00,Blocked,92.173.207.150,4.188.98.59,ICMP,13688,FTP Allow
2024-01-01 4:23:00,Blocked,202.255.116.127,72.163.96.97,ICMP,57928,HTTPS Allow
2024-01-01 4:24:00,Allowed,210.144.193.199,246.210.180.159,HTTP,8179,DNS Allow
2024-01-01 4:25:00,Allowed,119.136.150.217,24.121.3.41,TCP,41325,ICMP Deny
2024-01-01 4:26:00,Allowed,120.223.166.5,117.141.98.251,UDP,40872,FTP Allow
2024-01-01 4:27:00,Allowed,159.126.57.158,200.248.228.240,UDP,44532,HTTPS Allow
2024-01-01 4:28:00,Blocked,68.137.101.253,230.99.171.95,UDP,11652,ICMP Deny
2024-01-01 4:29:00,Allowed,104.88.114.73,44.140.75.57,HTTPS,22664,HTTP Deny
2024-01-01 4:30:00,Blocked,64.239.51.185,191.46.169.31,UDP,16145,FTP Allow
2024-01-01 4:31:00,Blocked,208.214.39.243,19.29.224.66,TCP,8606,DNS Allow
2024-01-01 4:32:00,Blocked,55.196.117.177,96.156.138.106,ICMP,52407,FTP Allow
2024-01-01 4:33:00,Blocked,232.180.207.38,69.83.6.124,HTTPS,13427,DNS Allow
2024-01-01 4:34:00,Allowed,82.207.191.157,209.133.255.190,HTTPS,20391,FTP Allow
2024-01-01 4:35:00,Allowed,81.126.175.16,93.113.116.37,TCP,61839,HTTPS Allow
2024-01-01 4:36:00,Allowed,131.174.114.31,3.175.73.134,TCP,54359,DNS Allow
2024-01-01 4:37:00,Blocked,247.175.105.95,180.46.175.173,HTTPS,40824,FTP Allow
2024-01-01 4:38:00,Blocked,27.178.163.50,229.105.46.15,ICMP,54314,FTP Allow
2024-01-01 4:39:00,Blocked,32.176.210.250,2.161.131.134,TCP,64963,ICMP Deny
2024-01-01 4:40:00,Allowed,59.97.164.167,247.53.28.120,ICMP,20686,HTTP Deny
